0x0E814810 - Sec_RFT-SpawnerAttacker-B.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6E804850 - Sec_SKY-AmbColour-MiddleTop.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xB0021501 - WeaponZone.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6F8953AB - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x5E0365D2 - US-Commando-Rocket.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Sphere(ZoneSphere { x: 0.0, y: 0.0, z: 0.0, radius: 0.4, unk_01: 1.7265079e-38 }), unk_04: 3, unk_05: 0, unk_06: 0 }
0x0D800814 - SCT_PointC-Main.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E81482A - Sec_RFT-PointA-BLower.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E81481C - Sec_RFT-BridgeC.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0B8083C3 - PointB-BuildingInteriorF-03.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x1F001B86 - c_ Advert-Block_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x6C804EF4 - Sec_SKY-PointC-CaptureBot.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0D800813 - SCT_PointD-Main.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xA9852656 - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E814829 - Sec_RFT-SpawnerAttacker-BLower.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E81482D - Sec_RFT-BuildingMiddleLower-A.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xB3104AB2 - c_ElectricBoxA_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0E81480A - Sec_RFT-PointB-D.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6C832F91 - BiopolixZone1.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6F87C5E2 - c_MUB-Gaz66_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0xFB711B9D - SectionMain-B1.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6E831220 - MetroFinal_MainLevelSector.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E81482F - Sec_RFT-BuildingMiddleLower-C.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xB00215CA - Zone_Weapo.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xC1103F69 - c_CementBag_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0xEC700D1F - c_US-HG-Hammer_CN03.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0B8083C2 - PointB-BuildingInteriorF-02.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xFB711BA3 - SectionMain-B2.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x7980002A - c_RSR-StorageA_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x8F064413 - GRU-Commando01Arms.zon - Zone { unk_01: 8, unk_02: 128, zone_type: Sphere(ZoneSphere { x: 0.0, y: 0.0, z: 0.0, radius: 1.0, unk_01: 1.7265093e-38 }), unk_04: 3, unk_05: 0, unk_06: 0 }
0x320A7336 - Dummy_ForeArmL.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 106 }
0x6F88567E - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6E803630 - Sec_SKY-LTPointA-A.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0D82ADA6 - PointC_Main.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xA9858749 - Zone_002.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xC1104123 - c_WasteConstruction_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x6E83CDF8 - Tomks9Final_MainAMBcolourB.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x7980034B - c_RSR-GarbagePackA_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0B8085C5 - PointB-BuildingInteriorCenterA.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6E80362B - Sec_SKY-SpwRT-B.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x9201B9DA - c_CT-BigPillarC_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0D82ADA7 - PointB_Main.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0B808371 - PointB-BuildingInteriorA (002).zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xE5701291 - c_GRO-A-Blitz-Shield_Mid_combine_CN.zon - Zone { unk_01: 24, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0E81480F - Sec_RFT-PointA-E.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xB3102C74 - c_CrateAlone_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x320A7338 - Dummy_LegL.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 108 }
0xEC700D23 - c_US-HG-Hammer_CN07.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 0 }
0xFB702687 - c_OR-Aircon_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0xAF020A43 - Fuck_Zone.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x4C100D89 - c_221-IndustrialControlDeskModern_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0B808648 - PointB-BuildingInteriorJ-01.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6E803631 - Sec_SKY-LTPointA-B.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xEC706409 - c_W-Lmg-MKGR-Tripod_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0xB3104C5D - c_AutomaticBarrier_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x2D200909 - c_RadarMetal_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x43803F5B - c_Blitz_top_CN_C.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x798005DD - c_PES-RoadEndPalace_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x5286F073 - Zone_002.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xAE102FEF - c_CountryElectricPost_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0E814818 - Sec_RFT-SpawnerAttacker-C.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x79800347 - c_RSR-GarbageA_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0xEC700D1E - c_US-HG-Hammer_CN02.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 0 }
0xFB70219F - c_GeneratorWhite_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0xA1803635 - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0D80081C - SCT_PointC-BGA.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x68807078 - Fuck_Zone.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x4C100DC7 - c_310-IndustrialServerOpen_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0E814821 - Sec_RFT-BackGroundWest-A.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6E83CA1E - Tomks9Final_MainSector.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xE0701C70 - c_GRO-A-Blitz-Shield02_CN.zon - Zone { unk_01: 24, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x6880882C - c_ShootingTarget01_CN.zon - Zone { unk_01: 24, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x6F88A53E - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x43803F5D - c_Blitz_top_CN_R.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0E814823 - Sec_RFT-BackGroundNorth-A.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x320A7331 - Dummy_Torso.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 101 }
0xFB711B95 - TriangleTowerMain.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xA986EFAD - Zone_002.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0D800819 - SCT_PointAB.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6E804852 - Sec_SKY-AmbColour-MiddleLower.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xFB701678 - c_OR-GeneratorB_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0E81480B - Sec_RFT-PointA-A.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0B80864D - PointB-BuildingInteriorSpawnB-02.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xFB711B93 - SectoMainTriangleArea.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x43803F55 - c_Blitz_Bot_CN_C.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x43803F58 - c_Blitz_Mid_CN_C.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0E81481D - Sec_RFT-BridgeD.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E81481F - Sec_RFT-BackGroundEast-B.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0B8083C7 - PointB-BuildingInteriorG.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x37055306 - c_TreeWinterTrunkA_cn.zon - Zone { unk_01: 16, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0D82ADA4 - PointE_Main.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x43803F5A - c_Blitz_Mid_CN_R.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x320A7333 - Dummy_RightArm.zon - Zone { unk_01: 24, unk_02: 128, zone_type: Capsule, unk_04: 3, unk_05: 0, unk_06: 103 }
0x6E83CDF7 - Tomks9Final_MainAMBcolourA.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0B808372 - PointB-BuildingInteriorC.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0D80081E - SCT_PointD-BGB.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0D800815 - SCT_PointB-Main.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x43803F57 - c_Blitz_Bot_CN_R.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x0B80864B - PointB-BuildingInteriorSpawnB-01.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0B808643 - PointB-BuildingInteriorH.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xD570062F - Zone_002.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xFB711BA2 - SectionMain-B-ContainerHouseInt.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xA9868233 - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0B808649 - PointB-BuildingInteriorL.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xE5701292 - c_GRO-A-Blitz-Shield_Top_combine_CN.zon - Zone { unk_01: 24, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x9201B9EC - c_CT-BigPillarC_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x6E83CDF9 - Tomks9Final_MainAMBcolourC.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6E80362E - Sec_SKY-RTPointB-A.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x6E837ABA - MetroFinal_MainAMBColour.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x988931F3 - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xE5701290 - c_GRO-A-Blitz-Shield_Low_combine_CN.zon - Zone { unk_01: 24, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0xE9105489 - minimap_zone.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xA98693D0 - Zone_001.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0B80836F - PointB-BuildingInteriorA.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0xA180FA99 - Zone_002.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x1BE1DDC7 - c_GarbagePackB_CN.zon - Zone { unk_01: 16, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 0 }
0x6E80362D - Sec_SKY-SpwRT-A.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
0x0E814812 - Sec_RFT-TwoTowerA.zon - Zone { unk_01: 128, unk_02: 128, zone_type: OBox, unk_04: 3, unk_05: 0, unk_06: 255 }
